malloc;   memalloc
0.000431; 0.000198
0.000199; 0.000167
0.000087; 0.000137
0.000107; 0.000119
0.000137; 0.000161
0.000182; 0.000160
0.000136; 0.000209
0.000220; 0.000217
0.000165; 0.000163
0.000195; 0.000203
0.000191; 0.000188
0.000164; 0.000208
0.000166; 0.000194
0.000213; 0.000230
0.000168; 0.000134
0.000176; 0.000204
0.000113; 0.000131
0.000181; 0.000204
0.000173; 0.000141
0.000142; 0.000161
0.000160; 0.000172
0.000172; 0.000160
0.000147; 0.000165
0.000126; 0.000159
0.000096; 0.000161
0.000127; 0.000154
0.000131; 0.000160
0.000149; 0.000120
0.000107; 0.000110
0.000082; 0.000128
0.000085; 0.000120
0.000090; 0.000120
0.000078; 0.000121
0.000110; 0.000110
0.000108; 0.000110
0.000136; 0.000193
0.000058; 0.000103
0.000177; 0.000223
0.000095; 0.000069
0.000079; 0.000069
0.000054; 0.000069
0.000059; 0.000069
0.000082; 0.000073
0.000051; 0.000138
0.000156; 0.000102
0.000109; 0.000111
0.000124; 0.000099
0.000093; 0.000096
0.000061; 0.000091
0.000070; 0.000095
0.000089; 0.000097
0.000069; 0.000105
0.000068; 0.000098
0.000067; 0.000098
0.000092; 0.000098
0.000069; 0.000097
0.000065; 0.000098
0.000087; 0.000098
0.000071; 0.000104
0.000067; 0.000101
0.000081; 0.000105
0.000067; 0.000103
0.000070; 0.000103
0.000113; 0.000083
0.000061; 0.000086
0.000058; 0.000088
0.000084; 0.000086
0.000081; 0.000084
0.000055; 0.000089
0.000070; 0.000070
0.000080; 0.000087
0.000064; 0.000083
0.000059; 0.000081
0.000059; 0.000086
0.000084; 0.000086
0.000059; 0.000084
0.000083; 0.000089
0.000058; 0.000087
0.000055; 0.000077
0.000072; 0.000086
0.000057; 0.000084
0.000056; 0.000074
0.000101; 0.000091
0.000085; 0.000077
0.000072; 0.000081
0.000077; 0.000080
0.000070; 0.000074
0.000053; 0.000074
0.000051; 0.000078
0.000097; 0.000072
0.000055; 0.000082
0.000051; 0.000082
0.000110; 0.000068
0.000052; 0.000079
0.000051; 0.000071
0.000123; 0.000071
0.000102; 0.000069
0.000061; 0.000069
0.000154; 0.000062
